"sex","age","tv","news","fitness","gpa","bmi","vote","party","tv1","tv2","tv3","tv4","tv5"
1,22,6,0.5,5,3.2,24.58,0,2,2,3,3,2,4
1,23,5,1,2,2.05,38.48,0,2,4,4,4,1,2
0,21,6,0.5,6,2.73,21.95,0,1,1,4,2,4,1
1,22,2,1,6,3.02,24.31,1,1,2,2,2,5,2
0,22,1,0,2,3.5,18.52,0,3,1,3,2,5,1
0,22,1,0,25,3.95,21.1937716262976,0,3,1,2,2,5,4
0,22,1,0.5,2,3.6,23.5714285714286,1,3,2,4,2,5,3
1,23,5,1,5,2.8,27.077960722079,1,2,3,4,4,2,4
0,22,2,0.5,4,2.4,18.8,1,3,2,2,2,4,2
0,21,1,1,3,3.6,21.16,0,1,1,1,1,4,1
1,22,0.5,0.25,0,3.91,22.37,1,3,1,1,1,5,1
1,22,2,1,4,3.3,24.22,1,1,4,4,3,4,2
0,21,3,0.5,2,3.12,21.36,0,1,2,2,2,3,4
0,22,3,0,5,3,22.4977043158861,0,3,2,3,2,4,2
1,21,2,0,5,3.85,20.4368512110727,1,2,2,2,2,4,2
0,21,1.5,0,5,2.5,20.2821869488536,0,2,2,3,2,3,2
0,21,2.5,0.5,2,2.73,22.5,0,2,1,2,3,4,2
0,22,4.5,0.5,9,3.02,22.37,1,2,2,4,2,4,2
1,21,2.5,0.5,10,2.85,21.6,1,3,4,2,4,4,3
0,20,1,0.5,3,3.39,19.68,1,1,1,1,1,5,1
0,22,2,0.25,1.5,3,24.22,0,1,1,4,3,4,1
1,24,4,0,5,2.6,29.41,0,3,3,2,2,4,2
0,21,1,0,7,3.1,21.3190506196177,0,2,2,2,2,4,3
0,24,2,0,3,2.8,21.83,0,1,1,2,1,2,1
0,22,2,0,0,2.8,27.29,1,1,1,4,3,2,4
1,25,2,1,3,3.02,21.6049382716049,1,1,2,3,2,4,2
0,20,1.5,0.25,10,3.94,24.5837669094693,1,1,2,4,4,2,4
0,22,2.5,1,0,2.9,19.38,0,1,2,2,2,4,2
0,21,2,0,4,3.67,23.07,0,2,2,2,2,4,2
0,21,2,0,2,3.09,21.3623046875,0,1,2,2,2,4,2
0,21,2,0.5,8,3.1,23.92578125,1,1,2,2,1,4,2
0,21,3,1,1,2.71,22.76,0,1,4,5,5,1,5
0,20,1,0.5,7.5,3,22.79,1,2,2,1,2,4,1
1,21,4,1,7.5,2.5,24.3,1,1,3,1,2,5,1
1,22,3,0,5,2.6,42.5,1,1,2,3,3,4,3
0,21,2.5,0.5,1,3.4,19.4003527336861,1,2,2,4,4,2,4
0,20,2,0,2.5,3.4,21.31,1,3,3,3,2,4,2
0,21,1,0,5,3.61,23.6064272961714,1,2,1,3,2,4,4
1,43,3,1,3,2.77,28.76,1,1,3,4,3,1,4
0,21,0.5,0.25,7,3.2,21.54,0,3,1,1,1,5,1
0,21,3,0.5,4,3.1,21.0414201183432,1,2,2,4,4,3,2
0,22,3,1,6,3.3,20.71,1,3,2,2,2,2,4
0,20,2,0.5,4.5,3,18.4802571166208,0,2,3,3,3,3,3
0,22,4.5,0.5,4,3.1,30.28,1,2,2,4,4,2,4
1,24,2,0.25,14,3,35,0,3,3,4,3,4,1
1,23,1,0.5,10,2.9,26.5066666666667,1,2,1,4,2,4,4
1,21,2,0.5,7,2.8,25.51,0,2,1,2,2,4,2
1,19,3,0.5,10,3.64,24.1046831955923,0,1,3,2,4,3,2
0,21,4,0,2,3.97,20.5078125,0,3,4,5,5,2,5
0,22,1,0,2,3,25.634765625,0,2,1,2,2,3,3
0,20,1,0,2,3.8,23.6732570239334,0,1,2,3,2,4,2
0,21,2,0.5,7,2.9,21.4458478903521,1,1,2,2,2,5,2
0,38,0,0.5,0,3.3,29.41,1,1,1,1,1,5,1
0,21,0.5,0.5,4,3.48,19.5642047513069,1,3,2,2,3,5,2
1,22,5,0.5,2,2.9,21.78,1,2,2,3,4,3,4
0,21,2,0.5,5,3.4,19.11,0,1,2,2,2,3,2
0,21,2,0,6,3.07,24.95,0,3,3,4,4,4,3
0,21,2,0,3,2.7,21.7,0,1,2,2,2,5,2
1,22,2,0,0,2.6,21.6,1,3,1,1,1,4,1
0,20,1,0,1,3.7,20.0872359963269,0,1,2,4,3,4,2
1,23,2,1,8,3.3,22.65,0,3,1,2,2,4,3
0,20,1,0.5,1,3.47,23.2,1,2,1,2,1,5,2
0,21,2,0.25,2,3.2,19.4,0,2,1,2,2,5,2
0,24,1,0.5,1,2.78,20.3369140625,1,3,1,3,2,4,3
0,21,3,1,4,3.49,34.29,1,1,1,2,1,4,1
0,21,1,0,2,2.92,26.492214532872,1,2,2,4,4,2,4
0,22,2,0,5,2.52,26.19,0,3,2,2,2,4,2
0,20,1,0.25,2,3.75,20.51,0,2,1,1,1,5,1
1,21,5,0,3,2.7,28.5714285714286,1,1,5,5,5,1,5
1,23,3,1,3,2.99,38.8007054673721,1,1,4,4,4,4,4
1,22,2,1,5,2.5,30.53,1,1,2,4,4,2,4
1,22,3,1,5,3,22.96,1,2,2,4,2,4,2
1,21,2,0,2,3.47,20.13,0,3,4,4,4,3,4
0,22,3,0.5,2,2.8,20.94,0,3,1,1,5,5,1
1,22,2,0.25,1,3.02,24.98,0,2,2,2,2,4,2
0,21,4,0,1,3.1,43.2679387261489,0,1,2,2,2,4,2
1,21,1,0,10,2.84,27.86,0,2,1,1,1,5,1
1,22,3,1,1,2.9,29.41,1,2,1,2,2,4,2
0,22,3,0,1,3.43,20.1348938702638,1,1,2,2,2,3,2
0,20,2,0,10,3,20,1,1,1,1,1,4,1
0,20,2,0.25,7,3.4,25.634765625,0,2,2,3,2,4,3
1,22,4,1,6,2.7,29.16,1,1,4,4,4,2,4
0,21,1,1,5,3.4,16.83,0,2,5,5,1,1,1
0,22,2,0.25,4,3.17,30.1,1,2,2,2,2,4,2
0,20,1,1,3,2.79,19.68,0,3,1,1,1,5,1
0,21,2,1,2,3.2,21.3888888888889,1,3,1,1,1,5,1
0,21,1,1,6,3.1,23.39,0,2,1,3,1,4,1
0,21,0.5,0,5,3.21,20.27,0,3,1,1,1,5,1
0,22,4,1,4,2.5,21.19,0,1,4,4,4,2,4
0,21,2,0,0,3.63,27.34,1,1,1,1,1,4,2
0,21,1,0,6,3,22.3668639053254,1,3,2,5,3,3,3
1,21,2,1,8,3.52,26.84,0,1,1,3,3,4,3
0,20,2,1,4.5,3.3,24.4260789715335,0,1,2,1,2,4,2
0,21,2,0.5,1,3.66,22.5,1,2,2,2,2,3,3
0,24,2,0.25,3.5,2.7,19.7530864197531,0,2,2,2,2,4,4
0,22,2,0.5,7,3.9,19.8487712665406,0,1,1,3,3,4,2
1,21,3,1,0.5,3.1,26.13,1,2,2,4,3,4,3
0,23,3,1,3,3,20.89072543618,1,1,1,4,2,5,1
0,21,2.5,0.25,3,3,21.6314135009857,0,2,1,2,1,5,2
0,21,2,0.5,3,3.55,19.71,1,2,1,2,1,5,2
1,21,3,0.5,4,3.69,36.4583333333333,0,2,3,3,3,3,4
1,22,2,0,5,3.24,22.79,0,3,3,4,2,4,2
0,21,2,0,2,3.08,19.88,0,1,3,2,3,3,2
0,21,1.5,0,6,3.89,23.81,1,2,1,3,1,5,2
1,22,4.5,1,10,3,22.05,0,3,2,2,3,4,2
1,23,4,1,6,3.07,32.36,1,2,4,4,3,2,3
1,21,2,0,3,3.41,30.49,0,1,1,2,2,2,2
1,26,1,0,1,3,29.86,1,2,4,3,4,4,5
0,21,3,0,3,3.4,24.69,1,1,5,4,4,2,5
0,21,2,0,3,2.9,25.63,1,2,1,2,2,4,2
1,22,1,0.25,3.5,2.5,30.86,1,1,2,3,2,4,2
0,22,2,0,0,3.3,18.52,0,3,2,4,3,4,2
1,21,3,0.25,15,3.9,24.9577781947833,0,2,2,2,3,2,2
1,22,2,1,3,2.61,23.46,1,3,2,2,2,4,2
0,21,2.5,1.5,0.5,3.8,30.53,1,1,2,2,2,4,2
1,22,1.5,0.25,4,3.1,31.14,1,1,1,4,3,3,3
0,24,1,0.5,5,2.9,17.2,0,1,1,2,2,5,1
0,20,4,1,0,3.1,18.2248520710059,1,1,2,4,3,2,4
0,24,1,1,0,3.2,17.9443359375,0,1,3,4,4,3,4
1,22,1.5,0.5,4,3.01,25.66,1,2,2,2,2,2,2
0,21,5,0,0,2.8,27.277613544746,1,1,2,4,2,4,3
1,21,2,0.5,3,2.5,24.3007339813529,0,1,2,3,3,3,1
0,21,0.5,0,3,3.3,21.16,1,1,1,1,1,5,1
1,27,4.5,0.5,5,3,20.45,1,1,2,3,2,4,2
0,25,3,1,5,3,28.9256198347107,1,1,2,2,2,4,2
0,21,1,0,4.5,2.7,23.81,0,1,1,2,2,4,2
0,23,5,1,2,2.5,20.89,0,1,4,5,5,1,4
0,20,2,0,3,3.44,21.1640211640212,1,1,2,4,2,3,4
0,21,4,0.5,1,2.9,23.3011937557392,0,2,2,3,2,3,2
0,22,2,0.5,7,2.5,21.4880332986472,1,2,2,4,2,4,3
1,21,2,0.5,8,3.17,28.57,1,2,3,4,4,2,4
1,22,3,1,4,2.8,24.93,1,1,3,3,2,4,2
0,22,2,1,1,3.3,25.6558641975309,1,1,1,3,2,5,2
0,22,2,1,10,3.2,21.85,0,2,1,2,4,2,1
0,22,3,0.5,2,3.2,17.6767676767677,1,1,4,4,3,4,3
0,21,3,0.5,4,2.8,20.44,0,3,3,4,3,2,4
0,22,2,0.5,10,2.93,23.24,0,1,1,4,2,4,3
1,21,3,0.5,5,2.97,33.24,0,2,2,2,2,3,3
0,21,0.5,0,5.5,3.55,23.6732570239334,0,1,1,1,1,5,2
0,23,3,0.25,0.3,2.7,27.34,1,1,2,4,4,2,4
0,21,2,1,6,3,30.0751879699248,0,2,1,2,1,3,1
0,21,1.5,1,4,2.99,25.5147928994083,1,1,2,3,2,5,1
0,20,3,0,5,3.34,22.216796875,0,1,4,4,4,2,4
1,21,1,1,7.5,3.27,41.9,0,3,2,1,2,5,1
1,21,4,0,3,3.33,24.170193807084,1,3,3,3,3,4,4
0,21,2,0,8,3,21.83,1,3,2,3,1,4,3
1,22,1,0,1,2.8,31.96,1,3,1,3,1,5,2
1,21,1,1,3.5,3.2,25.74,1,2,2,3,3,4,2
0,22,2,0.5,0,3,19.85,0,1,1,1,1,5,2
0,23,3,0,4,2.5,21.85,0,3,2,3,3,4,2
0,20,2,0,3,3.6,24.98,0,3,1,4,3,4,4
0,22,2,0,2,3.2,25.0440917107584,1,1,2,4,4,4,3
1,25,1,0,0.3,3,21.43,0,3,1,2,2,4,2
0,21,2,0.5,2,3.1,23.07,1,3,2,2,2,2,2
1,22,1,0,3,2.82,27.01,0,3,2,4,1,5,1
1,20,1,0.25,4,3.5,28.47,1,2,2,2,3,4,2
0,21,3.5,1,1.5,3.3,19.28,1,1,2,4,3,2,4
1,28,2,1,10,2.8,26.02,1,2,1,2,1,4,1
1,22,2,0,6,3.24,25.6558641975309,0,3,2,2,1,4,3
1,21,1.5,1.5,4,2.8,28.8831581035509,0,1,2,2,2,4,2
1,22,2,1,10,3,26.8444119795471,1,2,3,3,3,3,3
0,22,3,0,0.5,2.5,23.39,1,2,3,4,3,2,2
1,22,2,1,5,3.1,21.19,0,3,1,1,1,5,1
0,22,2,0,9,3.35,24.85,1,2,2,4,2,2,2
0,21,3,1,1,3.26,25.49,1,1,1,3,2,3,3
0,21,2,1,4,3.9,29.4055870615417,1,1,2,4,2,3,2
1,20,1.5,1,2,3.13,25.14,0,1,2,2,2,2,3
0,20,2,0,30,3.02,25.02,1,2,2,2,2,4,1
0,20,2,0,6,3.5,22.45,0,1,3,2,3,4,2
0,22,2,5,4,3,23.67,1,1,2,1,4,2,1
0,22,3,0,3,3,21.8311427934952,0,1,2,3,3,4,4
1,24,1.5,0.5,3,2.8,30.68,0,3,2,2,2,4,3
1,21,3.5,0.5,4.5,2.5,28.0060553633218,0,3,4,5,5,1,5
1,21,2,5,5,2.8,26.84,1,1,2,3,3,3,3
0,21,1,0.5,6,2.8,31.1873468478503,1,2,1,1,1,5,1
0,22,3,1,5,2.6,24.95,1,2,4,4,4,2,3
0,21,2,1,2,2.5,21.5,1,1,2,4,3,2,4
0,21,5,1,0,3,20.09,1,1,2,2,2,4,2
0,21,3,1,2,2.76,19.53,0,3,3,4,3,4,2
1,21,0,1,20,3.1,23.5244696492334,1,2,1,1,1,5,1
0,20,2,0.5,10,3.68,22.0458553791887,1,3,1,2,2,3,2
1,20,2,0,1,3.5,22.2178139258084,1,1,2,3,2,2,1
1,22,1,0,5,3.23,23.01,1,3,1,1,1,5,1
0,21,20,0,4,2.7,25.7116620752984,1,1,2,4,2,3,1
1,22,4,1,2,3.5,22.96,1,2,3,4,3,2,4
1,22,4,0.5,10,3.1,21.43,1,1,2,2,3,4,3
0,23,1,0.25,3,2.82,27.6400367309458,0,1,1,2,1,5,1
1,27,4,1,3,2.86,25.69,1,3,2,2,2,4,2
1,21,2,1,10,2.8,25.7352941176471,1,3,2,2,2,4,2
1,39,2.5,0,3,2.9,26.4892578125,0,2,3,5,2,2,1
0,21,2,1,4,2.5,19.0532544378698,0,1,2,2,2,4,4
0,20,4,0,0,3.43,30.0994356355818,1,3,3,4,3,3,3
0,21,2.5,1,1,3,23.07,1,1,2,2,2,5,2
1,21,6,0.5,10,2.6,29.57,0,3,2,2,3,4,3
1,22,1.5,0,5,2.8,19.68,0,2,1,2,1,4,1
0,22,3,0,1.5,3.56,21.36,1,2,2,3,2,4,2
0,21,0.5,0.5,4,3.3,22.22,1,3,1,1,1,4,1
0,21,2,0.25,4,2.8,18.92,1,1,2,2,1,5,3
1,22,4,1,1,2.87,20.39,1,3,3,4,4,2,4
0,22,2,1,3,3.75,24.1046831955923,1,2,2,4,4,2,4
0,21,2,1,10,3.7,20.89,0,1,1,2,1,4,2
0,22,5,0.5,6,3.3,22.61,0,3,2,4,2,3,2
0,22,1,1,9,3.35,15.14,0,3,1,1,1,5,1
0,22,1,0,12,2.8,22.0541902961563,1,2,2,2,2,5,2
0,22,3,0.5,7,3,20.51,1,2,3,4,4,2,4
0,21,0,0,1,3.58,23.6225895316804,1,1,1,1,1,4,1
0,24,2,0.75,3,2.9,22.8424916962881,1,1,1,2,2,4,1
1,33,2,0.25,8,2.8,23.62,0,3,2,3,3,4,3
0,21,1.5,1,8,3.12,19.85,1,1,1,3,1,4,1
0,23,3,0.5,5,2.6,19.29,1,2,2,3,2,4,4
1,21,1,1,10,2.8,21.6,1,3,1,2,1,4,1
0,20,1,0,3,3.63,22.9448491155047,0,2,1,1,1,5,1
1,21,2,1,1,3.2,20.4368512110727,1,1,2,4,3,2,4
0,23,1,0.5,2,2.42,25.71,0,3,2,4,4,4,4
0,22,0.5,0.5,5,3.1,21.05,0,2,1,1,1,5,1
0,22,2,0,4,3.6,23.5244696492334,1,2,1,2,1,4,2
1,22,5,0.5,10,2.3,38.8888888888889,0,3,1,4,3,4,3
1,22,3,1,10,2.96,20.3954214360042,1,2,2,1,2,5,2
0,21,1,1,10,3.5,21.88,1,3,2,4,2,4,2
0,22,2,0,7,3.4,22.5,1,2,2,2,2,4,3
1,20,2,0,3,2.9,28.9,1,2,3,2,4,4,2
1,21,3,4,5,2.6,32.7467141902428,0,2,3,2,3,2,4
0,20,2,0.5,5,3.3,21.31,0,1,1,4,2,3,3
1,22,2,1,5,2.5,22.96,0,3,2,3,2,4,2
1,23,2,1,5,3.17,23.39,1,3,1,1,1,5,1
0,21,3,0.5,4,3.03,31.34,1,2,2,3,3,2,3
0,22,2,0.5,1,2.52,19.12,0,2,1,2,2,5,2
0,22,1,1,2,3,21.5384615384615,1,3,1,1,1,5,1
0,21,1,1,3,2.9,22.2,1,1,2,4,4,4,3
0,21,2,0.5,4,3.56,19.4920917799064,1,1,2,3,2,5,2
0,22,1,0.5,2,3.2,31.75,1,1,2,2,2,2,2
0,22,1.5,0.25,1,2.8,22.31,1,2,1,2,1,5,1
0,21,1,0,0.5,3.27,21.1640211640212,1,2,1,3,3,4,3
0,20,6,0.5,8,3.2,24.2857142857143,0,3,2,3,1,4,2
1,32,2,1,2,3.1,29.29,1,2,1,1,1,5,1
0,21,3,1,1,3,18.71,0,2,5,4,5,2,4
1,25,3,0,5,2.95,27.2491349480969,0,3,1,1,1,5,1
0,21,2,0,5,3.87,22.5745767266864,1,1,4,4,2,4,4
0,21,1,0,3,3.6,18.1660899653979,1,3,1,1,1,5,1
0,21,4,0.25,4,3.2,20.28,0,2,1,4,2,4,3
0,20,2,0.5,5,3.2,17.68,0,3,2,5,4,2,5
0,32,1,0,2,3.3,22.0541902961563,1,2,2,3,2,4,3
1,22,3,1,1,3.2,21.1937716262976,1,1,2,4,3,2,4
1,22,2,0,1,2.5,25.729888678849,1,2,2,3,2,3,2
1,22,1.5,2,9,2.8,24.1046831955923,1,2,2,2,1,4,2
1,22,2,0,10,3.03,23.64,0,3,2,2,2,4,2
0,22,3,0.5,7,2.7,20.4166666666667,1,1,2,2,3,4,3
0,21,3,0,0,2.5,19.1207075962539,1,1,3,4,4,2,4
0,21,2,0.5,4,3.65,20.6933619994625,1,2,1,1,1,4,2
0,22,3,1,4,3.1,20.8757396449704,1,2,3,4,3,2,4
0,23,1,1,3,3,21.63,1,2,1,1,1,5,1
0,21,0.5,0,1,3.92,19.6533203125,1,2,1,1,1,5,1
0,22,2.5,0.5,4,2.6,22.28,0,3,1,2,2,4,2
1,22,1,2,0,3.1,22.2800925925926,1,1,2,4,3,2,5
1,23,3,1,10,2.5,25,1,3,3,2,3,3,2
0,22,2,1,6,3.64,22.76,0,3,2,2,2,2,2
1,22,2,0,6,2.78,25,0,2,2,2,2,3,2
1,30,2,0.25,3.5,3,27.77,1,1,1,1,1,5,1
1,23,2,0.5,5,4,23.64,1,3,2,2,2,4,2
0,21,2,0.5,2,2.75,22.22,0,3,2,3,2,4,4
1,21,3,0,6,2.95,28.47,1,1,4,2,3,2,2
0,21,1.5,0.5,5,3.44,24.99,0,1,1,1,1,5,1
0,20,1,0.5,3,2.55,19.68,0,2,1,2,2,4,1
0,22,1,0,3,3.2,21.8698224852071,1,2,1,4,1,5,2
1,22,3,1,10,2.6,25.6558641975309,0,1,2,3,2,4,3
1,21,2,0,2,2.4,25.71,1,1,2,1,2,4,1
0,21,1,0.5,6,3.33,20.58,1,3,1,1,1,5,1
0,23,4,1,4,2.4,26.4,1,1,2,2,2,4,2
0,21,1,1,5,3,17.36,1,3,1,1,1,4,1
0,20,3,0.5,4,2.8,25.68,0,1,2,2,2,4,2
0,20,1,1,5,3.89,19.8487712665406,0,3,2,3,3,4,4
0,21,3,0.5,1,3,24.7802734375,1,2,2,2,2,4,2
0,22,1,0.5,5,3.84,19.8816568047337,0,1,1,1,1,4,2
0,22,1.5,0.5,3,3.3,22.7076124567474,1,2,2,2,2,4,2
1,23,2,0,5,3.2,30.4347826086957,1,3,2,2,2,5,2
0,22,2,0.5,6,3.1,20.2717754511027,1,2,1,2,2,5,1
0,21,3,0,1,3,20.71,1,1,4,4,2,2,4
0,21,1,0.5,4,3.3,24.9783737024221,1,1,2,2,2,3,3
0,21,2,0,2,3.51,19.49,0,2,2,2,2,5,2
0,21,2,1,4,3.78,18.89,0,1,1,1,1,5,1
0,22,2,1,2,2.85,18.47,0,2,1,2,2,4,2
1,22,2,1,2,2.52,24.29,0,2,2,2,2,4,3
1,28,3,0,1,3,41.07,1,1,2,2,4,3,2
1,21,3,0.5,2.5,3.4,25.71,0,3,3,4,3,2,2
0,22,3,0,5,2.5,23.67,0,1,2,3,3,3,2
0,21,3,0,1,2.94,20.89,1,1,4,4,4,2,5
0,22,0.5,0.25,8,3.85,21.3623046875,0,3,1,4,1,5,1
0,22,2,1,1,3.1,25.49,1,2,1,1,1,5,1
1,35,2,0,2,3.2,24.9807098765432,1,2,2,3,3,4,3
1,21,2,0,3,2.4,31.96,1,1,2,4,3,2,3
0,21,4,1,5,3.3,22.9,0,1,1,2,2,4,2
1,22,2,0.5,7,3.1,23.02,1,2,1,2,2,4,1
1,22,2,0.5,0,2.56,23.36,1,1,3,2,3,2,5
1,22,2,0,7,2.5,32.8571428571429,0,2,4,5,4,3,3
0,20,2,0,4,3.91,20.89072543618,0,2,3,3,2,3,4
0,21,2,0,1,3,19.68,1,1,1,2,2,4,2
0,20,0.5,0.5,3,3.04,30.0994356355818,0,1,1,1,1,5,1
0,21,1,1,5,2.7,20.71,1,3,1,1,1,5,1
1,22,7,1,8,3,29.82,1,2,4,5,2,2,2
0,21,2,0.5,18,3.45,21.69,1,2,1,1,1,4,1
0,25,2,0,4,2.56,19,0,3,2,2,2,4,3
0,22,2,0,8,3.3,21.04,1,2,1,2,1,4,2
0,21,2,0,5,3.48,22.93,1,2,1,3,1,5,2
1,21,3,1,3,3.24,22.79,1,2,2,3,3,4,2
1,23,3,0.5,4,2.63,20.93,1,2,2,2,2,4,2
1,36,1,1,5,3.27,22.28,1,3,1,5,1,5,2
1,22,2.5,1,1,3.1,26.4650283553875,1,1,2,2,4,4,2
0,21,2,0,4,3.2,24.1,1,3,1,1,1,5,2
1,23,3,0.5,4,2.96,28.9,0,2,3,4,4,2,4
1,22,0.5,0.25,0.2,3.15,27.34,0,3,1,2,2,4,1
0,21,1,0,6.5,3.95,19.65,0,3,1,1,1,5,1
1,23,3,0.5,5,3.1,24.29,1,1,2,5,3,2,2
1,21,2,0,9,3.51,25.6558641975309,1,2,3,2,4,2,4
1,27,2,1,5,3,38.8811743701647,0,3,1,1,1,5,1
0,21,5,0,5,3.2,24.17,0,1,2,4,2,4,2
1,21,1.5,1,6,3.5,26.27,0,3,1,2,2,3,2
0,22,1,0,3,2.65,22.05,0,3,2,2,3,4,2
1,25,2,0,7,2.9,27.3777777777778,1,1,2,1,1,4,3
0,23,4,0,12.5,2.5,26.3310185185185,1,1,4,2,3,2,3
0,21,2.5,1,5,3.4,19.3771626297578,1,1,2,2,3,4,3
0,20,0,0,6,3.45,23.4130859375,1,1,2,4,3,4,2
0,22,2,0.5,2,3,34.5500459136823,1,1,3,2,2,3,2
0,25,2,0,5,2.91,18.2248520710059,0,2,2,3,1,4,2
1,20,3,0,10,2.6,21.7777777777778,0,3,2,5,4,3,5
0,21,3,1,12,3.1,22.57,1,1,3,4,3,4,4
0,22,1,0,4,3.4,19.41,1,1,2,2,1,5,1
0,22,2.5,0.5,4,3.66,20.09,1,2,1,2,2,5,1
1,23,2.5,0.5,0,2.4,32.41,1,1,2,4,3,4,2
0,20,2,0,10,4,18.7124081087102,0,2,2,3,3,4,3
0,21,3,0.5,1,2.83,31.19,0,1,4,2,3,2,2
1,22,2,1,0,2.5,20.73,1,2,3,3,4,2,3
0,22,4,1,5,3.1,17.41,0,3,2,2,2,3,2
0,21,4,0,4,2.8,18.71,1,1,2,1,1,5,1
0,21,1,0.5,9,2.9,20.58,0,1,1,3,2,5,1
1,21,1,0.5,4,3.02,24.26,0,2,2,2,2,4,3
0,21,5.5,0,0,2.18,25.068870523416,1,1,2,3,3,2,4
1,21,3,0,3,2.7,20.2821869488536,0,1,2,4,3,3,2
1,23,2,0.5,1,3.3,25.66,1,2,1,4,2,2,4
0,22,2,0.5,3,3,24.02,0,3,1,2,2,5,1
0,22,3,0.5,4,2.9,22.5,0,2,3,4,3,4,4
0,22,1,0,1,3.52,30.5277777777778,1,1,1,1,1,5,2
0,21,2,0.5,6,3.4,23.2,1,1,2,2,2,4,2
0,23,4,1,15,3.54,21.6049382716049,1,3,2,2,2,4,3
0,22,3,0.5,3,2.4,26.04,1,1,4,2,3,3,1
0,33,2.5,0,14,3,28.1227173119065,0,3,4,4,4,2,4
0,21,0.5,0.5,2,3.2,25.58,1,1,1,4,1,5,1
1,22,2,0.75,4,2.9,25.69,1,3,2,2,3,5,1
0,21,1,0,8,3.01,22.93,1,2,1,2,2,5,2
0,21,2,1,4,3.34,23.93,0,3,2,2,2,5,2
0,21,3,1,5,3.87,24.46,1,1,1,2,2,5,2
0,24,2,0,5,2.9,23.3011937557392,1,2,2,3,2,3,3
0,22,3,0.5,6,2.7,21.533203125,1,1,4,4,4,4,2
0,21,2,0,5,3.4,21.63,0,2,2,2,3,4,2
0,21,2,0,3.5,3.5,22.4977043158861,1,1,1,3,3,2,4
1,21,3,0.5,4,2.83,24.98,1,2,1,1,1,4,2
0,22,3,0,2,3.4,27.2222222222222,1,3,3,4,3,3,3
0,22,0.5,0.5,3,2.8,20.89,1,2,2,2,1,4,2
1,22,3.5,0.5,2,3,26.6620498614958,0,3,4,4,3,3,4
1,20,1,0,4,3.45,19.1802183114279,1,2,2,4,2,4,3
0,22,3,0.5,2,3,19.4003527336861,1,3,3,2,3,4,2
1,21,1,0.5,0,3.68,19.28,0,3,1,1,1,4,1
1,22,2,0,1,2.9,22.216796875,0,3,1,2,2,5,1
0,23,2,1,5,2.75,24.9947490023104,1,1,2,4,3,4,3
0,21,4.5,1.5,2.5,3.4,17.08984375,1,1,1,4,2,2,1
1,21,1,0,25,3,23.0712890625,1,3,1,1,1,5,1
1,23,4,0.5,5,3.51,24.95,1,3,4,3,3,5,2
0,23,2,1,2,2.7,20,1,2,3,2,3,4,2
0,20,1,0.5,4,3.6,17.8459937565036,1,3,2,2,2,4,2
0,22,0.5,2,5,2.9,20.2717754511027,1,2,1,2,2,4,1
0,22,3,1,10,3,20.25,1,3,2,2,1,4,2
0,22,2,1,10,3,20.7100591715976,1,2,1,2,2,4,2
0,22,4,0,2,3.5,22.22,1,1,2,2,2,4,4
0,21,3,1,0,3.3,18.2445979059924,0,3,2,3,3,4,3
0,20,1,0,3,2.9,21.6942148760331,0,2,1,2,1,5,2
0,22,0.5,0,1,3.4,20.1348938702638,0,3,2,4,3,4,3
0,21,4,0.5,12,3.04,21.16,1,2,3,4,4,2,4
1,22,2,1,5,3.55,21.05,1,3,1,1,1,5,1
0,21,2,1,3,3.6,22.05,1,2,1,4,3,4,3
1,21,3,0,8,3.6,20.8292005554453,0,3,1,1,1,5,1
1,20,4,0.5,3,2.6,35.15,0,3,3,4,4,2,3
0,21,1,0,8,3.2,23.2804232804233,0,2,2,3,2,4,3
0,20,1,0.5,5,3.2,17.9327244375139,0,2,2,2,2,4,3
0,22,2,0.5,5,3.01,21.63,0,3,2,3,3,2,2
1,24,4,1,3,2.9,23.52,1,1,3,4,3,5,2
0,21,2,0,0,3.88,22.76,1,1,1,3,1,4,2
0,21,3,0.5,2,2.69,21.21,0,3,2,2,2,4,2
1,21,4,0.5,7,3.3,19.91,0,2,3,4,4,2,1
0,22,2,0.5,5,3.81,19.05,1,1,1,2,1,5,1
1,20,1,0,3,3.4,21.5384615384615,0,1,1,3,3,4,2
0,20,3,0.5,3,3.28,20.28,0,3,3,3,3,3,3
0,21,1,0.5,5,3,21.051459122299,0,3,4,2,2,5,1
0,21,1.5,1,0.6,3.2,23.0712890625,1,2,2,1,2,4,1
0,21,2,0,4,2.95,20.2821869488536,1,1,3,4,4,3,3
1,25,2,0.5,2,2.8,29.5198961937716,1,3,2,2,3,5,2
0,22,4.5,1,5.5,3,19.02,0,3,2,3,2,2,2
1,23,5,1,3,2.6,20.1348938702638,0,1,2,4,2,3,4
1,22,3,0.5,6,2.95,28.8984800150122,0,1,2,3,2,4,4
0,21,2.5,0.5,11,3.44,21.9506920415225,1,1,1,5,2,2,4
1,22,1,1,20,2.9,24.96,1,2,3,2,2,2,2
0,22,2,1,3,3.3,19.38,0,1,1,4,3,4,1
1,23,2,2,8,2.8,24.3007339813529,0,1,1,4,2,2,4
0,21,0.5,0.5,5,3.17,22.61,1,3,1,1,1,5,1
1,21,4,0.25,4,2.6,23.2,0,2,3,3,3,3,2
1,21,2,2.5,2,3.75,23.61,1,2,2,2,2,4,2
1,23,5,0.5,10,3.69,27.01,1,2,2,4,3,3,3
